Date : 2025-08-01 17:15:33
Directory : /Users/kuben/projects/surge/surgelight
Total : 271 files,  31754 codes, 969 comments, 2580 blanks, all 35303 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src/app/(dashboard)/reports/[id]                                                                             |          2 |          4 |          0 |          2 |          6 |
| src/app/(dashboard)/reports/[id] (Files)                                                                     |          1 |          2 |          0 |          1 |          3 |
| src/app/(dashboard)/reports/[id]/edit                                                                        |          1 |          2 |          0 |          1 |          3 |
| src/app/(dashboard)/reports/create                                                                           |          1 |          2 |          0 |          1 |          3 |
| src/app/(dashboard)/social-accounts                                                                          |          1 |          2 |          0 |          1 |          3 |
| src/app/(public)                                                                                             |          2 |          4 |          0 |          2 |          6 |
| src/app/(public)/public                                                                                      |          2 |          4 |          0 |          2 |          6 |
| src/app/(public)/public/reports                                                                              |          2 |          4 |          0 |          2 |          6 |
| src/app/(public)/public/reports (Files)                                                                      |          1 |          2 |          0 |          1 |          3 |
| src/app/(public)/public/reports/[share_id]                                                                   |          1 |          2 |          0 |          1 |          3 |
| src/app/api                                                                                                  |          9 |        661 |         66 |        134 |        861 |
| src/app/api/cron                                                                                             |          3 |        234 |         21 |         44 |        299 |
| src/app/api/cron (Files)                                                                                     |          1 |         18 |          2 |          5 |         25 |
| src/app/api/cron/comments                                                                                    |          1 |        155 |         11 |         26 |        192 |
| src/app/api/cron/reports                                                                                     |          1 |         61 |          8 |         13 |         82 |
| src/app/api/uploadthing                                                                                      |          2 |         64 |          5 |         11 |         80 |
| src/app/api/webhook                                                                                          |          4 |        363 |         40 |         79 |        482 |
| src/app/api/webhook/ayrshare                                                                                 |          1 |        124 |          4 |         29 |        157 |
| src/app/api/webhook/clerk                                                                                    |          1 |         60 |          1 |          9 |         70 |
| src/app/api/webhook/make                                                                                     |          1 |         47 |          8 |         10 |         65 |
| src/app/api/webhook/stripe                                                                                   |          1 |        132 |         27 |         31 |        190 |
| src/components                                                                                               |         64 |      6,187 |         83 |        639 |      6,909 |
| src/components/analytics                                                                                     |         12 |      1,381 |         69 |        114 |      1,564 |
| src/components/analytics (Files)                                                                             |          8 |      1,325 |         64 |        108 |      1,497 |
| src/components/analytics/types                                                                               |          4 |         56 |          5 |          6 |         67 |
| src/components/common                                                                                        |          2 |         35 |          0 |          7 |         42 |
| src/components/icons                                                                                         |          4 |         20 |          0 |          0 |         20 |
| src/components/ui                                                                                            |         46 |      4,751 |         14 |        518 |      5,283 |
| src/features                                                                                                 |        141 |     11,837 |        450 |      1,146 |     13,433 |
| src/features/campaigns                                                                                       |         42 |      6,982 |        330 |        673 |      7,985 |
| src/features/campaigns (Files)                                                                               |          1 |          5 |          3 |          1 |          9 |
| src/features/campaigns/analytics                                                                             |          3 |        707 |         32 |         44 |        783 |
| src/features/campaigns/analytics (Files)                                                                     |          2 |         25 |          1 |          1 |         27 |
| src/features/campaigns/analytics/components                                                                  |          1 |        682 |         31 |         43 |        756 |
| src/features/campaigns/create                                                                                |         11 |      1,273 |         42 |        112 |      1,427 |
| src/features/campaigns/create (Files)                                                                        |          2 |        359 |         20 |         49 |        428 |
| src/features/campaigns/create/components                                                                     |          9 |        914 |         22 |         63 |        999 |
| src/features/campaigns/detail                                                                                |          5 |        709 |         35 |         78 |        822 |
| src/features/campaigns/detail (Files)                                                                        |          2 |         25 |          1 |          1 |         27 |
| src/features/campaigns/detail/components                                                                     |          1 |        632 |         30 |         63 |        725 |
| src/features/campaigns/detail/hooks                                                                          |          2 |         52 |          4 |         14 |         70 |
| src/features/campaigns/list                                                                                  |          4 |      1,336 |         69 |         98 |      1,503 |
| src/features/campaigns/list (Files)                                                                          |          2 |        400 |         26 |         31 |        457 |
| src/features/campaigns/list/components                                                                       |          2 |        936 |         43 |         67 |      1,046 |
| src/features/campaigns/videos                                                                                |         18 |      2,952 |        149 |        340 |      3,441 |
| src/features/campaigns/videos (Files)                                                                        |          1 |          3 |          1 |          0 |          4 |
| src/features/campaigns/videos/components                                                                     |          9 |      1,217 |         46 |         91 |      1,354 |
| src/features/campaigns/videos/constants                                                                      |          1 |         49 |          3 |          5 |         57 |
| src/features/campaigns/videos/dialogs                                                                        |          2 |      1,122 |         62 |        134 |      1,318 |
| src/features/campaigns/videos/hooks                                                                          |          4 |        525 |         37 |        104 |        666 |
| src/features/campaigns/videos/types                                                                          |          1 |         36 |          0 |          6 |         42 |
| src/features/credits                                                                                         |          4 |        185 |          1 |         11 |        197 |
| src/features/credits (Files)                                                                                 |          1 |          2 |          1 |          0 |          3 |
| src/features/credits/components                                                                              |          2 |        169 |          0 |         10 |        179 |
| src/features/credits/types                                                                                   |          1 |         14 |          0 |          1 |         15 |
| src/features/main-analytics                                                                                  |          9 |        463 |         25 |         57 |        545 |
| src/features/main-analytics (Files)                                                                          |          2 |         99 |         12 |         11 |        122 |
| src/features/main-analytics/components                                                                       |          1 |        173 |          6 |         14 |        193 |
| src/features/main-analytics/constants                                                                        |          1 |         12 |          1 |          1 |         14 |
| src/features/main-analytics/hooks                                                                            |          3 |        131 |          4 |         23 |        158 |
| src/features/main-analytics/types                                                                            |          1 |         14 |          1 |          3 |         18 |
| src/features/main-analytics/utils                                                                            |          1 |         34 |          1 |          5 |         40 |
| src/features/navigation                                                                                      |         10 |        506 |          5 |         40 |        551 |
| src/features/navigation (Files)                                                                              |          1 |          1 |          1 |          0 |          2 |
| src/features/navigation/components                                                                           |          7 |        440 |          4 |         37 |        481 |
| src/features/navigation/constants                                                                            |          1 |         54 |          0 |          1 |         55 |
| src/features/navigation/types                                                                                |          1 |         11 |          0 |          2 |         13 |
| src/features/pricing                                                                                         |         15 |        656 |          1 |         55 |        712 |
| src/features/pricing (Files)                                                                                 |          2 |        103 |          1 |         14 |        118 |
| src/features/pricing/components                                                                              |          6 |        239 |          0 |         18 |        257 |
| src/features/pricing/constants                                                                               |          1 |         71 |          0 |          2 |         73 |
| src/features/pricing/dialogs                                                                                 |          1 |        104 |          0 |          5 |        109 |
| src/features/pricing/hooks                                                                                   |          4 |        111 |          0 |         13 |        124 |
| src/features/pricing/types                                                                                   |          1 |         28 |          0 |          3 |         31 |
| src/features/public-reports                                                                                  |         26 |        801 |         26 |         85 |        912 |
| src/features/public-reports (Files)                                                                          |          1 |          2 |          1 |          0 |          3 |
| src/features/public-reports/landing                                                                          |          2 |         17 |          0 |          0 |         17 |
| src/features/public-reports/viewer                                                                           |         23 |        782 |         25 |         85 |        892 |
| src/features/public-reports/viewer (Files)                                                                   |          2 |         17 |          0 |          3 |         20 |
| src/features/public-reports/viewer/components                                                                |          7 |        299 |         14 |         29 |        342 |
| src/features/public-reports/viewer/constants                                                                 |          1 |          2 |          0 |          0 |          2 |
| src/features/public-reports/viewer/hooks                                                                     |          4 |        135 |          1 |         20 |        156 |
| src/features/public-reports/viewer/sections                                                                  |          3 |        154 |          0 |          8 |        162 |
| src/features/public-reports/viewer/types                                                                     |          2 |         88 |         10 |         15 |        113 |
| src/features/public-reports/viewer/utils                                                                     |          4 |         87 |          0 |         10 |         97 |
| src/features/reports                                                                                         |         20 |      1,329 |         50 |        130 |      1,509 |
| src/features/reports (Files)                                                                                 |          1 |          4 |          1 |          0 |          5 |
| src/features/reports/create                                                                                  |          3 |         53 |          2 |          7 |         62 |
| src/features/reports/create (Files)                                                                          |          2 |         18 |          0 |          3 |         21 |
| src/features/reports/create/hooks                                                                            |          1 |         35 |          2 |          4 |         41 |
| src/features/reports/detail                                                                                  |          5 |        601 |         29 |         59 |        689 |
| src/features/reports/detail (Files)                                                                          |          2 |         10 |          0 |          2 |         12 |
| src/features/reports/detail/components                                                                       |          1 |        497 |         29 |         47 |        573 |
| src/features/reports/detail/hooks                                                                            |          2 |         94 |          0 |         10 |        104 |
| src/features/reports/edit                                                                                    |          3 |         94 |          4 |         13 |        111 |
| src/features/reports/edit (Files)                                                                            |          2 |         58 |          2 |          9 |         69 |
| src/features/reports/edit/hooks                                                                              |          1 |         36 |          2 |          4 |         42 |
| src/features/reports/list                                                                                    |          4 |        261 |          1 |         19 |        281 |
| src/features/reports/list (Files)                                                                            |          2 |        103 |          1 |         15 |        119 |
| src/features/reports/list/components                                                                         |          2 |        158 |          0 |          4 |        162 |
| src/features/reports/shared                                                                                  |          4 |        316 |         13 |         32 |        361 |
| src/features/reports/shared (Files)                                                                          |          1 |          3 |          0 |          0 |          3 |
| src/features/reports/shared/components                                                                       |          1 |        230 |         13 |         17 |        260 |
| src/features/reports/shared/types                                                                            |          1 |         62 |          0 |          9 |         71 |
| src/features/reports/shared/utils                                                                            |          1 |         21 |          0 |          6 |         27 |
| src/features/social-accounts                                                                                 |         15 |        915 |         12 |         95 |      1,022 |
| src/features/social-accounts (Files)                                                                         |          2 |        138 |          7 |         16 |        161 |
| src/features/social-accounts/components                                                                      |          4 |        210 |          0 |         13 |        223 |
| src/features/social-accounts/constants                                                                       |          1 |         16 |          0 |          2 |         18 |
| src/features/social-accounts/dialogs                                                                         |          3 |        360 |          5 |         29 |        394 |
| src/features/social-accounts/hooks                                                                           |          3 |        132 |          0 |         27 |        159 |
| src/features/social-accounts/types                                                                           |          1 |         40 |          0 |          6 |         46 |
| src/features/social-accounts/utils                                                                           |          1 |         19 |          0 |          2 |         21 |
| src/hooks                                                                                                    |          1 |         15 |          0 |          5 |         20 |
| src/lib                                                                                                      |          1 |         30 |          0 |          9 |         39 |
| src/styles                                                                                                   |          1 |        119 |          0 |          7 |        126 |
| src/utils                                                                                                    |          1 |          7 |          0 |          3 |         10 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                     | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/kuben/projects/surge/surgelight/.claude/settings.local.json                                           | JSON               |         19 |          0 |          0 |         19 |
| /Users/kuben/projects/surge/surgelight/CLAUDE.md                                                             | Markdown           |        384 |          0 |         73 |        457 |
| /Users/kuben/projects/surge/surgelight/Makefile                                                              | Makefile           |          4 |          0 |          0 |          4 |
| /Users/kuben/projects/surge/surgelight/components.json                                                       | JSON               |         21 |          0 |          0 |         21 |
| /Users/kuben/projects/surge/surgelight/convex/_generated/api.d.ts                                            | TypeScript         |         31 |         17 |          3 |         51 |
| /Users/kuben/projects/surge/surgelight/convex/_generated/api.js                                              | JavaScript         |          3 |         17 |          3 |         23 |
| /Users/kuben/projects/surge/surgelight/convex/_generated/dataModel.d.ts                                      | TypeScript         |         16 |         39 |          6 |         61 |
| /Users/kuben/projects/surge/surgelight/convex/_generated/server.d.ts                                         | TypeScript         |         24 |        105 |         14 |        143 |
| /Users/kuben/projects/surge/surgelight/convex/_generated/server.js                                           | JavaScript         |         16 |         65 |          9 |         90 |
| /Users/kuben/projects/surge/surgelight/convex/analytics.ts                                                   | TypeScript         |        467 |         30 |         64 |        561 |
| /Users/kuben/projects/surge/surgelight/convex/auth.config.ts                                                 | TypeScript         |          8 |          4 |          0 |         12 |
| /Users/kuben/projects/surge/surgelight/convex/ayrshare.ts                                                    | TypeScript         |        657 |         20 |        119 |        796 |
| /Users/kuben/projects/surge/surgelight/convex/campaigns.ts                                                   | TypeScript         |        368 |         13 |         69 |        450 |
| /Users/kuben/projects/surge/surgelight/convex/folders.ts                                                     | TypeScript         |        340 |          0 |         78 |        418 |
| /Users/kuben/projects/surge/surgelight/convex/public.ts                                                      | TypeScript         |        103 |          6 |         13 |        122 |
| /Users/kuben/projects/surge/surgelight/convex/reports.ts                                                     | TypeScript         |        285 |          3 |         69 |        357 |
| /Users/kuben/projects/surge/surgelight/convex/schema.ts                                                      | TypeScript         |        144 |          2 |         17 |        163 |
| /Users/kuben/projects/surge/surgelight/convex/stripe.ts                                                      | TypeScript         |        138 |          1 |         23 |        162 |
| /Users/kuben/projects/surge/surgelight/convex/tsconfig.json                                                  | JSON with Comments |         18 |          6 |          2 |         26 |
| /Users/kuben/projects/surge/surgelight/convex/users.ts                                                       | TypeScript         |         66 |          0 |          9 |         75 |
| /Users/kuben/projects/surge/surgelight/eslint.config.js                                                      | JavaScript         |         46 |          0 |          3 |         49 |
| /Users/kuben/projects/surge/surgelight/next.config.js                                                        | JavaScript         |         21 |          5 |          3 |         29 |
| /Users/kuben/projects/surge/surgelight/package-lock.json                                                     | JSON               |      9,169 |          0 |          1 |      9,170 |
| /Users/kuben/projects/surge/surgelight/package.json                                                          | JSON               |         99 |          0 |          1 |        100 |
| /Users/kuben/projects/surge/surgelight/postcss.config.js                                                     | JavaScript         |          5 |          0 |          1 |          6 |
| /Users/kuben/projects/surge/surgelight/prettier.config.js                                                    | JavaScript         |          3 |          1 |          1 |          5 |
| /Users/kuben/projects/surge/surgelight/public/file.svg                                                       | XML                |          1 |          0 |          0 |          1 |
| /Users/kuben/projects/surge/surgelight/public/globe.svg                                                      | XML                |          1 |          0 |          0 |          1 |
| /Users/kuben/projects/surge/surgelight/public/next.svg                                                       | XML                |          1 |          0 |          0 |          1 |
| /Users/kuben/projects/surge/surgelight/public/vercel.svg                                                     | XML                |          1 |          0 |          0 |          1 |
| /Users/kuben/projects/surge/surgelight/public/window.svg                                                     | XML                |          1 |          0 |          0 |          1 |
| /Users/kuben/projects/surge/surgelight/src/app/(auth)/sign-in/[[...sign-in]]/page.tsx                        | TypeScript JSX     |         16 |          0 |          3 |         19 |
| /Users/kuben/projects/surge/surgelight/src/app/(auth)/sign-up/[[...sign-up]]/page.tsx                        | TypeScript JSX     |         10 |          0 |          5 |         15 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/analytics/page.tsx                                | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/campaign/[id]/analytics/page.tsx                  | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/campaign/[id]/page.tsx                            | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/campaign/create/page.tsx                          | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/campaign/page.tsx                                 | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/pricing/page.tsx                                  | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/reports/[id]/edit/page.tsx                        | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/reports/[id]/page.tsx                             | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/reports/create/page.tsx                           | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/reports/page.tsx                                  | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/social-accounts/page.tsx                          | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(public)/public/reports/[share_id]/page.tsx                   | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(public)/public/reports/page.tsx                              | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/api/cron/comments/route.ts                                    | TypeScript         |        155 |         11 |         26 |        192 |
| /Users/kuben/projects/surge/surgelight/src/app/api/cron/reports/route.ts                                     | TypeScript         |         61 |          8 |         13 |         82 |
| /Users/kuben/projects/surge/surgelight/src/app/api/cron/route.ts                                             | TypeScript         |         18 |          2 |          5 |         25 |
| /Users/kuben/projects/surge/surgelight/src/app/api/uploadthing/core.ts                                       | TypeScript         |         59 |          2 |          7 |         68 |
| /Users/kuben/projects/surge/surgelight/src/app/api/uploadthing/route.ts                                      | TypeScript         |          5 |          3 |          4 |         12 |
| /Users/kuben/projects/surge/surgelight/src/app/api/webhook/ayrshare/route.ts                                 | TypeScript         |        124 |          4 |         29 |        157 |
| /Users/kuben/projects/surge/surgelight/src/app/api/webhook/clerk/route.ts                                    | TypeScript         |         60 |          1 |          9 |         70 |
| /Users/kuben/projects/surge/surgelight/src/app/api/webhook/make/route.ts                                     | TypeScript         |         47 |          8 |         10 |         65 |
| /Users/kuben/projects/surge/surgelight/src/app/api/webhook/stripe/route.ts                                   | TypeScript         |        132 |         27 |         31 |        190 |
| /Users/kuben/projects/surge/surgelight/src/app/layout.tsx                                                    | TypeScript JSX     |         40 |          0 |          5 |         45 |
| /Users/kuben/projects/surge/surgelight/src/app/page.tsx                                                      | TypeScript JSX     |        149 |          2 |          8 |        159 |
| /Users/kuben/projects/surge/surgelight/src/app/providers.tsx                                                 | TypeScript JSX     |         32 |          0 |          6 |         38 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/AnalyticsHeader.tsx                          | TypeScript JSX     |        131 |          2 |         10 |        143 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/CommentsSection.tsx                          | TypeScript JSX     |        301 |         15 |         24 |        340 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/EditVisibleVideosModal.tsx                   | TypeScript JSX     |        409 |         34 |         39 |        482 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/KpiCard.tsx                                  | TypeScript JSX     |         36 |          0 |          5 |         41 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/KpiMetricsGrid.tsx                           | TypeScript JSX     |         85 |          1 |          2 |         88 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/PerformanceChartCard.tsx                     | TypeScript JSX     |        214 |          6 |         11 |        231 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/TopContentCard.tsx                           | TypeScript JSX     |         89 |          0 |         11 |        100 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/TopContentItem.tsx                           | TypeScript JSX     |         60 |          6 |          6 |         72 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/types/growth.types.ts                        | TypeScript         |          4 |          0 |          0 |          4 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/types/index.ts                               | TypeScript         |          3 |          1 |          0 |          4 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/types/metrics.types.ts                       | TypeScript         |         23 |          4 |          4 |         31 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/types/video.types.ts                         | TypeScript         |         26 |          0 |          2 |         28 |
| /Users/kuben/projects/surge/surgelight/src/components/common/theme-provider.tsx                              | TypeScript JSX     |         17 |          0 |          3 |         20 |
| /Users/kuben/projects/surge/surgelight/src/components/common/theme-switcher.tsx                              | TypeScript JSX     |         18 |          0 |          4 |         22 |
| /Users/kuben/projects/surge/surgelight/src/components/icons/InstagramIcon.tsx                                | TypeScript JSX     |          7 |          0 |          0 |          7 |
| /Users/kuben/projects/surge/surgelight/src/components/icons/TikTokIcon.tsx                                   | TypeScript JSX     |          5 |          0 |          0 |          5 |
| /Users/kuben/projects/surge/surgelight/src/components/icons/YouTubeIcon.tsx                                  | TypeScript JSX     |          5 |          0 |          0 |          5 |
| /Users/kuben/projects/surge/surgelight/src/components/icons/index.ts                                         | TypeScript         |          3 |          0 |          0 |          3 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/accordion.tsx                                       | TypeScript JSX     |         59 |          0 |          8 |         67 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/alert-dialog.tsx                                    | TypeScript JSX     |        143 |          0 |         15 |        158 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/alert.tsx                                           | TypeScript JSX     |         60 |          0 |          7 |         67 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/aspect-ratio.tsx                                    | TypeScript JSX     |          8 |          0 |          4 |         12 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/avatar.tsx                                          | TypeScript JSX     |         47 |          0 |          7 |         54 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/badge.tsx                                           | TypeScript JSX     |         41 |          0 |          6 |         47 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/breadcrumb.tsx                                      | TypeScript JSX     |         99 |          0 |         11 |        110 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/button.tsx                                          | TypeScript JSX     |         54 |          0 |          6 |         60 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/calendar.tsx                                        | TypeScript JSX     |        203 |          0 |         11 |        214 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/card.tsx                                            | TypeScript JSX     |         83 |          0 |         10 |         93 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/carousel.tsx                                        | TypeScript JSX     |        214 |          0 |         28 |        242 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/chart.tsx                                           | TypeScript JSX     |        315 |          2 |         37 |        354 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/checkbox.tsx                                        | TypeScript JSX     |         28 |          0 |          5 |         33 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/collapsible.tsx                                     | TypeScript JSX     |         28 |          0 |          6 |         34 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/command.tsx                                         | TypeScript JSX     |        172 |          0 |         13 |        185 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/context-menu.tsx                                    | TypeScript JSX     |        234 |          0 |         19 |        253 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/dialog.tsx                                          | TypeScript JSX     |        130 |          0 |         14 |        144 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/drawer.tsx                                          | TypeScript JSX     |        122 |          0 |         14 |        136 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/dropdown-menu.tsx                                   | TypeScript JSX     |        239 |          0 |         19 |        258 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/form.tsx                                            | TypeScript JSX     |        143 |          0 |         25 |        168 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/hover-card.tsx                                      | TypeScript JSX     |         38 |          0 |          7 |         45 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/input-otp.tsx                                       | TypeScript JSX     |         69 |          0 |          9 |         78 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/input.tsx                                           | TypeScript JSX     |         18 |          0 |          4 |         22 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/label.tsx                                           | TypeScript JSX     |         20 |          0 |          5 |         25 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/menubar.tsx                                         | TypeScript JSX     |        257 |          0 |         20 |        277 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/navigation-menu.tsx                                 | TypeScript JSX     |        157 |          0 |         12 |        169 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/pagination.tsx                                      | TypeScript JSX     |        117 |          0 |         11 |        128 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/popover.tsx                                         | TypeScript JSX     |         41 |          0 |          8 |         49 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/progress.tsx                                        | TypeScript JSX     |         27 |          0 |          5 |         32 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/radio-group.tsx                                     | TypeScript JSX     |         40 |          0 |          6 |         46 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/resizable.tsx                                       | TypeScript JSX     |         50 |          0 |          7 |         57 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/scroll-area.tsx                                     | TypeScript JSX     |         53 |          0 |          6 |         59 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/select.tsx                                          | TypeScript JSX     |        172 |          0 |         14 |        186 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/separator.tsx                                       | TypeScript JSX     |         24 |          0 |          5 |         29 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/sheet.tsx                                           | TypeScript JSX     |        126 |          0 |         14 |        140 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/sidebar.tsx                                         | TypeScript JSX     |        661 |         12 |         55 |        728 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/skeleton.tsx                                        | TypeScript JSX     |         11 |          0 |          3 |         14 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/slider.tsx                                          | TypeScript JSX     |         58 |          0 |          6 |         64 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/sonner.tsx                                          | TypeScript JSX     |         22 |          0 |          5 |         27 |
