Date : 2025-08-30 19:48:28
Directory : /Users/kuben/projects/surge/surgelight
Total : 504 files,  44708 codes, 1986 comments, 4512 blanks, all 51206 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        281 |     21,172 |        479 |      2,051 |     23,702 |
| TypeScript         |        202 |     13,122 |      1,386 |      2,267 |     16,775 |
| JSON               |          4 |      9,334 |          0 |          1 |      9,335 |
| Markdown           |          1 |        720 |          0 |        156 |        876 |
| CSS                |          1 |        189 |          0 |          7 |        196 |
| JavaScript         |          7 |        109 |        111 |         24 |        244 |
| JSON with Comments |          2 |         53 |         10 |          6 |         69 |
| XML                |          5 |          5 |          0 |          0 |          5 |
| Makefile           |          1 |          4 |          0 |          0 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |        504 |     44,708 |      1,986 |      4,512 |     51,206 |
| . (Files)                                                                                                          |         11 |     10,227 |         10 |        171 |     10,408 |
| .claude                                                                                                            |          1 |         35 |          0 |          0 |         35 |
| convex                                                                                                             |         27 |      5,064 |        501 |        849 |      6,414 |
| convex (Files)                                                                                                     |          5 |        299 |         18 |         34 |        351 |
| convex/_generated                                                                                                  |          5 |        112 |        243 |         35 |        390 |
| convex/app                                                                                                         |         11 |      3,807 |        166 |        627 |      4,600 |
| convex/utils                                                                                                       |          1 |        118 |         36 |         29 |        183 |
| convex/webhooks                                                                                                    |          5 |        728 |         38 |        124 |        890 |
| public                                                                                                             |          5 |          5 |          0 |          0 |          5 |
| src                                                                                                                |        460 |     29,377 |      1,475 |      3,492 |     34,344 |
| src (Files)                                                                                                        |          2 |         37 |         30 |         10 |         77 |
| src/app                                                                                                            |         18 |        362 |          5 |         52 |        419 |
| src/app (Files)                                                                                                    |          3 |        283 |          5 |         30 |        318 |
| src/app/(auth)                                                                                                     |          2 |         28 |          0 |          8 |         36 |
| src/app/(auth)/sign-in                                                                                             |          1 |         18 |          0 |          3 |         21 |
| src/app/(auth)/sign-in/[[...sign-in]]                                                                              |          1 |         18 |          0 |          3 |         21 |
| src/app/(auth)/sign-up                                                                                             |          1 |         10 |          0 |          5 |         15 |
| src/app/(auth)/sign-up/[[...sign-up]]                                                                              |          1 |         10 |          0 |          5 |         15 |
| src/app/(dashboard)                                                                                                |         11 |         47 |          0 |         12 |         59 |
| src/app/(dashboard)/analytics                                                                                      |          1 |         12 |          0 |          1 |         13 |
| src/app/(dashboard)/campaign                                                                                       |          4 |         23 |          0 |          5 |         28 |
| src/app/(dashboard)/campaign (Files)                                                                               |          1 |          2 |          0 |          1 |          3 |
| src/app/(dashboard)/campaign/[id]                                                                                  |          2 |         19 |          0 |          3 |         22 |
| src/app/(dashboard)/campaign/[id] (Files)                                                                          |          1 |          2 |          0 |          1 |          3 |
| src/app/(dashboard)/campaign/[id]/analytics                                                                        |          1 |         17 |          0 |          2 |         19 |
| src/app/(dashboard)/campaign/create                                                                                |          1 |          2 |          0 |          1 |          3 |
| src/app/(dashboard)/pricing                                                                                        |          1 |          2 |          0 |          1 |          3 |
| src/app/(dashboard)/reports                                                                                        |          4 |          8 |          0 |          4 |         12 |
| src/app/(dashboard)/reports (Files)                                                                                |          1 |          2 |          0 |          1 |          3 |
| src/app/(dashboard)/reports/[id]                                                                                   |          2 |          4 |          0 |          2 |          6 |
| src/app/(dashboard)/reports/[id] (Files)                                                                           |          1 |          2 |          0 |          1 |          3 |
| src/app/(dashboard)/reports/[id]/edit                                                                              |          1 |          2 |          0 |          1 |          3 |
| src/app/(dashboard)/reports/create                                                                                 |          1 |          2 |          0 |          1 |          3 |
| src/app/(dashboard)/social-accounts                                                                                |          1 |          2 |          0 |          1 |          3 |
| src/app/(public)                                                                                                   |          2 |          4 |          0 |          2 |          6 |
| src/app/(public)/public                                                                                            |          2 |          4 |          0 |          2 |          6 |
| src/app/(public)/public/reports                                                                                    |          2 |          4 |          0 |          2 |          6 |
| src/app/(public)/public/reports (Files)                                                                            |          1 |          2 |          0 |          1 |          3 |
| src/app/(public)/public/reports/[share_id]                                                                         |          1 |          2 |          0 |          1 |          3 |
| src/components                                                                                                     |         68 |      6,336 |         89 |        652 |      7,077 |
| src/components/analytics                                                                                           |         12 |      1,394 |         70 |        113 |      1,577 |
| src/components/analytics (Files)                                                                                   |          8 |      1,338 |         65 |        107 |      1,510 |
| src/components/analytics/types                                                                                     |          4 |         56 |          5 |          6 |         67 |
| src/components/common                                                                                              |          2 |         35 |          0 |          7 |         42 |
| src/components/icons                                                                                               |          4 |         20 |          0 |          0 |         20 |
| src/components/loaders                                                                                             |          4 |        136 |          5 |         14 |        155 |
| src/components/ui                                                                                                  |         46 |      4,751 |         14 |        518 |      5,283 |
| src/features                                                                                                       |        353 |     21,421 |      1,107 |      2,559 |     25,087 |
| src/features/analytics                                                                                             |         13 |      1,473 |         86 |        152 |      1,711 |
| src/features/analytics (Files)                                                                                     |          1 |         27 |          4 |          3 |         34 |
| src/features/analytics/components                                                                                  |          9 |      1,113 |         44 |         88 |      1,245 |
| src/features/analytics/hooks                                                                                       |          2 |        214 |         32 |         45 |        291 |
| src/features/analytics/types                                                                                       |          1 |        119 |          6 |         16 |        141 |
| src/features/campaigns                                                                                             |        165 |     12,010 |        484 |      1,406 |     13,900 |
| src/features/campaigns (Files)                                                                                     |          1 |         11 |          4 |          2 |         17 |
| src/features/campaigns/analytics                                                                                   |         16 |      1,022 |         31 |         93 |      1,146 |
| src/features/campaigns/analytics (Files)                                                                           |          2 |         41 |          5 |          6 |         52 |
| src/features/campaigns/analytics/components                                                                        |         10 |        771 |         13 |         66 |        850 |
| src/features/campaigns/analytics/constants                                                                         |          1 |        124 |          3 |          7 |        134 |
| src/features/campaigns/analytics/hooks                                                                             |          1 |         76 |          7 |         13 |         96 |
| src/features/campaigns/analytics/types                                                                             |          1 |          3 |          2 |          1 |          6 |
| src/features/campaigns/analytics/utils                                                                             |          1 |          7 |          1 |          0 |          8 |
| src/features/campaigns/create                                                                                      |         33 |      3,054 |        153 |        365 |      3,572 |
| src/features/campaigns/create (Files)                                                                              |          2 |         95 |         21 |         22 |        138 |
| src/features/campaigns/create/components                                                                           |         20 |      2,273 |         74 |        225 |      2,572 |
| src/features/campaigns/create/constants                                                                            |          1 |         20 |          0 |          5 |         25 |
| src/features/campaigns/create/hooks                                                                                |          8 |        645 |         47 |        110 |        802 |
| src/features/campaigns/create/types                                                                                |          1 |          8 |          0 |          0 |          8 |
| src/features/campaigns/create/utils                                                                                |          1 |         13 |         11 |          3 |         27 |
| src/features/campaigns/detail                                                                                      |         15 |      1,193 |         37 |        142 |      1,372 |
| src/features/campaigns/detail (Files)                                                                              |          2 |         34 |          4 |          5 |         43 |
| src/features/campaigns/detail/components                                                                           |          8 |        953 |         25 |         93 |      1,071 |
| src/features/campaigns/detail/hooks                                                                                |          4 |        179 |          8 |         41 |        228 |
| src/features/campaigns/detail/types                                                                                |          1 |         27 |          0 |          3 |         30 |
| src/features/campaigns/folders                                                                                     |         31 |      2,164 |         81 |        231 |      2,476 |
| src/features/campaigns/folders (Files)                                                                             |          1 |         26 |          4 |          3 |         33 |
| src/features/campaigns/folders/components                                                                          |         17 |      1,346 |         39 |        118 |      1,503 |
| src/features/campaigns/folders/dialogs                                                                             |          3 |        240 |          3 |         23 |        266 |
| src/features/campaigns/folders/hooks                                                                               |          7 |        467 |         26 |         75 |        568 |
| src/features/campaigns/folders/types                                                                               |          3 |         85 |          9 |         12 |        106 |
| src/features/campaigns/list                                                                                        |         21 |      1,464 |         57 |        163 |      1,684 |
| src/features/campaigns/list (Files)                                                                                |          2 |         98 |         14 |         12 |        124 |
| src/features/campaigns/list/components                                                                             |         15 |      1,005 |          4 |         78 |      1,087 |
| src/features/campaigns/list/hooks                                                                                  |          4 |        361 |         39 |         73 |        473 |
| src/features/campaigns/videos                                                                                      |         48 |      3,102 |        121 |        410 |      3,633 |
| src/features/campaigns/videos (Files)                                                                              |          1 |         21 |          5 |          4 |         30 |
| src/features/campaigns/videos/components                                                                           |         27 |      1,740 |         47 |        178 |      1,965 |
| src/features/campaigns/videos/components (Files)                                                                   |         14 |      1,051 |         12 |         90 |      1,153 |
| src/features/campaigns/videos/components/table                                                                     |         13 |        689 |         35 |         88 |        812 |
| src/features/campaigns/videos/constants                                                                            |          1 |         49 |          3 |          5 |         57 |
| src/features/campaigns/videos/dialogs                                                                              |          2 |        237 |         13 |         24 |        274 |
| src/features/campaigns/videos/hooks                                                                                |         10 |        737 |         39 |        154 |        930 |
| src/features/campaigns/videos/types                                                                                |          2 |         60 |          0 |          9 |         69 |
| src/features/campaigns/videos/utils                                                                                |          5 |        258 |         14 |         36 |        308 |
| src/features/credits                                                                                               |         10 |        392 |         28 |         54 |        474 |
| src/features/credits (Files)                                                                                       |          1 |         23 |          5 |          4 |         32 |
| src/features/credits/components                                                                                    |          5 |        239 |          2 |         30 |        271 |
| src/features/credits/constants                                                                                     |          1 |         32 |          0 |          1 |         33 |
| src/features/credits/hooks                                                                                         |          1 |         38 |          0 |          7 |         45 |
| src/features/credits/types                                                                                         |          1 |         45 |          0 |          8 |         53 |
| src/features/credits/utils                                                                                         |          1 |         15 |         21 |          4 |         40 |
| src/features/main-analytics                                                                                        |         21 |        825 |        126 |        117 |      1,068 |
| src/features/main-analytics (Files)                                                                                |          2 |        110 |         17 |         16 |        143 |
| src/features/main-analytics/components                                                                             |          7 |        341 |         32 |         36 |        409 |
| src/features/main-analytics/components (Files)                                                                     |          4 |        230 |         19 |         25 |        274 |
| src/features/main-analytics/components/sections                                                                    |          3 |        111 |         13 |         11 |        135 |
