Date : 2025-08-30 19:48:28
Directory : /Users/kuben/projects/surge/surgelight
Total : 504 files,  44708 codes, 1986 comments, 4512 blanks, all 51206 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src/features/main-analytics/constants                                                                              |          2 |         52 |         12 |          7 |         71 |
| src/features/main-analytics/hooks                                                                                  |          7 |        234 |         41 |         51 |        326 |
| src/features/main-analytics/types                                                                                  |          1 |          1 |          1 |          0 |          2 |
| src/features/main-analytics/utils                                                                                  |          2 |         87 |         23 |          7 |        117 |
| src/features/navigation                                                                                            |         12 |        863 |         39 |         92 |        994 |
| src/features/navigation (Files)                                                                                    |          1 |         34 |          6 |          5 |         45 |
| src/features/navigation/components                                                                                 |          7 |        603 |         10 |         51 |        664 |
| src/features/navigation/constants                                                                                  |          1 |         82 |          4 |          4 |         90 |
| src/features/navigation/hooks                                                                                      |          1 |         44 |          0 |          8 |         52 |
| src/features/navigation/types                                                                                      |          1 |         47 |          1 |         11 |         59 |
| src/features/navigation/utils                                                                                      |          1 |         53 |         18 |         13 |         84 |
| src/features/pricing                                                                                               |         18 |      1,016 |        105 |        130 |      1,251 |
| src/features/pricing (Files)                                                                                       |          2 |        165 |          7 |         20 |        192 |
| src/features/pricing/components                                                                                    |          8 |        302 |          4 |         26 |        332 |
| src/features/pricing/constants                                                                                     |          1 |        133 |         16 |         13 |        162 |
| src/features/pricing/dialogs                                                                                       |          1 |        104 |          0 |          5 |        109 |
| src/features/pricing/hooks                                                                                         |          4 |        152 |         24 |         34 |        210 |
| src/features/pricing/types                                                                                         |          1 |         92 |          6 |         16 |        114 |
| src/features/pricing/utils                                                                                         |          1 |         68 |         48 |         16 |        132 |
| src/features/public-reports                                                                                        |         42 |      1,106 |        107 |        146 |      1,359 |
| src/features/public-reports (Files)                                                                                |          1 |         14 |          3 |          2 |         19 |
| src/features/public-reports/landing                                                                                |          2 |         17 |          0 |          0 |         17 |
| src/features/public-reports/shared                                                                                 |          3 |         60 |         17 |         15 |         92 |
| src/features/public-reports/shared (Files)                                                                         |          1 |          2 |          1 |          0 |          3 |
| src/features/public-reports/shared/types                                                                           |          2 |         58 |         16 |         15 |         89 |
| src/features/public-reports/viewer                                                                                 |         36 |      1,015 |         87 |        129 |      1,231 |
| src/features/public-reports/viewer (Files)                                                                         |          2 |         51 |          6 |          8 |         65 |
| src/features/public-reports/viewer/components                                                                      |         12 |        362 |         22 |         37 |        421 |
| src/features/public-reports/viewer/constants                                                                       |          3 |         52 |          3 |          8 |         63 |
| src/features/public-reports/viewer/hooks                                                                           |          8 |        175 |         27 |         35 |        237 |
| src/features/public-reports/viewer/sections                                                                        |          3 |        141 |          0 |         11 |        152 |
| src/features/public-reports/viewer/types                                                                           |          2 |         95 |         11 |         16 |        122 |
| src/features/public-reports/viewer/utils                                                                           |          6 |        139 |         18 |         14 |        171 |
| src/features/reports                                                                                               |         49 |      2,568 |        118 |        314 |      3,000 |
| src/features/reports (Files)                                                                                       |          1 |          4 |          1 |          0 |          5 |
| src/features/reports/create                                                                                        |          3 |         55 |          3 |          9 |         67 |
| src/features/reports/create (Files)                                                                                |          2 |         19 |          1 |          4 |         24 |
| src/features/reports/create/hooks                                                                                  |          1 |         36 |          2 |          5 |         43 |
| src/features/reports/detail                                                                                        |         20 |      1,204 |         64 |        152 |      1,420 |
| src/features/reports/detail (Files)                                                                                |          2 |         27 |          4 |          6 |         37 |
| src/features/reports/detail/components                                                                             |          8 |        604 |         19 |         56 |        679 |
| src/features/reports/detail/constants                                                                              |          1 |         46 |          3 |          4 |         53 |
| src/features/reports/detail/hooks                                                                                  |          7 |        471 |         37 |         81 |        589 |
| src/features/reports/detail/types                                                                                  |          1 |         45 |          0 |          5 |         50 |
| src/features/reports/detail/utils                                                                                  |          1 |         11 |          1 |          0 |         12 |
| src/features/reports/edit                                                                                          |          3 |         96 |          6 |         15 |        117 |
| src/features/reports/edit (Files)                                                                                  |          2 |         59 |          4 |         10 |         73 |
| src/features/reports/edit/hooks                                                                                    |          1 |         37 |          2 |          5 |         44 |
| src/features/reports/list                                                                                          |          7 |        339 |          3 |         32 |        374 |
| src/features/reports/list (Files)                                                                                  |          2 |         53 |          2 |          9 |         64 |
| src/features/reports/list/components                                                                               |          4 |        238 |          0 |         14 |        252 |
| src/features/reports/list/hooks                                                                                    |          1 |         48 |          1 |          9 |         58 |
| src/features/reports/shared                                                                                        |         15 |        870 |         41 |        106 |      1,017 |
| src/features/reports/shared (Files)                                                                                |          1 |         14 |          4 |          3 |         21 |
| src/features/reports/shared/components                                                                             |          9 |        592 |         16 |         55 |        663 |
| src/features/reports/shared/hooks                                                                                  |          3 |        175 |         20 |         36 |        231 |
| src/features/reports/shared/types                                                                                  |          1 |         81 |          0 |         11 |         92 |
| src/features/reports/shared/utils                                                                                  |          1 |          8 |          1 |          1 |         10 |
| src/features/social-accounts                                                                                       |         23 |      1,168 |         14 |        148 |      1,330 |
| src/features/social-accounts (Files)                                                                               |          2 |        150 |          9 |         18 |        177 |
| src/features/social-accounts/components                                                                            |         10 |        409 |          0 |         40 |        449 |
| src/features/social-accounts/constants                                                                             |          1 |         24 |          1 |          6 |         31 |
| src/features/social-accounts/dialogs                                                                               |          3 |        267 |          1 |         21 |        289 |
| src/features/social-accounts/hooks                                                                                 |          5 |        253 |          3 |         51 |        307 |
| src/features/social-accounts/types                                                                                 |          1 |         46 |          0 |          7 |         53 |
| src/features/social-accounts/utils                                                                                 |          1 |         19 |          0 |          5 |         24 |
| src/hooks                                                                                                          |          7 |        327 |         59 |         65 |        451 |
| src/hooks (Files)                                                                                                  |          3 |        105 |          8 |         24 |        137 |
| src/hooks/analytics                                                                                                |          4 |        222 |         51 |         41 |        314 |
| src/lib                                                                                                            |          1 |         30 |          0 |          9 |         39 |
| src/styles                                                                                                         |          1 |        189 |          0 |          7 |        196 |
| src/types                                                                                                          |          2 |        126 |         15 |         18 |        159 |
| src/utils                                                                                                          |          8 |        549 |        170 |        120 |        839 |
| src/utils (Files)                                                                                                  |          4 |        262 |         85 |         66 |        413 |
| src/utils/analytics                                                                                                |          4 |        287 |         85 |         54 |        426 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                           | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/kuben/projects/surge/surgelight/.claude/settings.local.json                                                 | JSON               |         35 |          0 |          0 |         35 |
| /Users/kuben/projects/surge/surgelight/CLAUDE.md                                                                   | Markdown           |        720 |          0 |        156 |        876 |
| /Users/kuben/projects/surge/surgelight/Makefile                                                                    | Makefile           |          4 |          0 |          0 |          4 |
| /Users/kuben/projects/surge/surgelight/components.json                                                             | JSON               |         21 |          0 |          0 |         21 |
| /Users/kuben/projects/surge/surgelight/convex/_generated/api.d.ts                                                  | TypeScript         |         53 |         17 |          3 |         73 |
| /Users/kuben/projects/surge/surgelight/convex/_generated/api.js                                                    | JavaScript         |          3 |         17 |          3 |         23 |
| /Users/kuben/projects/surge/surgelight/convex/_generated/dataModel.d.ts                                            | TypeScript         |         16 |         39 |          6 |         61 |
| /Users/kuben/projects/surge/surgelight/convex/_generated/server.d.ts                                               | TypeScript         |         24 |        105 |         14 |        143 |
| /Users/kuben/projects/surge/surgelight/convex/_generated/server.js                                                 | JavaScript         |         16 |         65 |          9 |         90 |
| /Users/kuben/projects/surge/surgelight/convex/app/analytics.ts                                                     | TypeScript         |        752 |         53 |         87 |        892 |
| /Users/kuben/projects/surge/surgelight/convex/app/ayrshare.ts                                                      | TypeScript         |        657 |         20 |        119 |        796 |
| /Users/kuben/projects/surge/surgelight/convex/app/campaigns.ts                                                     | TypeScript         |        619 |         31 |        112 |        762 |
| /Users/kuben/projects/surge/surgelight/convex/app/files.ts                                                         | TypeScript         |        105 |         10 |         18 |        133 |
| /Users/kuben/projects/surge/surgelight/convex/app/folders.ts                                                       | TypeScript         |        340 |          0 |         78 |        418 |
| /Users/kuben/projects/surge/surgelight/convex/app/public.ts                                                        | TypeScript         |        208 |         11 |         21 |        240 |
| /Users/kuben/projects/surge/surgelight/convex/app/reports.ts                                                       | TypeScript         |        375 |         17 |         94 |        486 |
| /Users/kuben/projects/surge/surgelight/convex/app/stripe.ts                                                        | TypeScript         |        139 |          1 |         23 |        163 |
| /Users/kuben/projects/surge/surgelight/convex/app/tiktok.ts                                                        | TypeScript         |        418 |          9 |         39 |        466 |
| /Users/kuben/projects/surge/surgelight/convex/app/transcription.ts                                                 | TypeScript         |        128 |         14 |         27 |        169 |
| /Users/kuben/projects/surge/surgelight/convex/app/users.ts                                                         | TypeScript         |         66 |          0 |          9 |         75 |
| /Users/kuben/projects/surge/surgelight/convex/auth.config.ts                                                       | TypeScript         |          8 |          4 |          0 |         12 |
| /Users/kuben/projects/surge/surgelight/convex/crons.ts                                                             | TypeScript         |         15 |          0 |          5 |         20 |
| /Users/kuben/projects/surge/surgelight/convex/http.ts                                                              | TypeScript         |         38 |          5 |          7 |         50 |
| /Users/kuben/projects/surge/surgelight/convex/schema.ts                                                            | TypeScript         |        220 |          3 |         20 |        243 |
| /Users/kuben/projects/surge/surgelight/convex/tsconfig.json                                                        | JSON with Comments |         18 |          6 |          2 |         26 |
| /Users/kuben/projects/surge/surgelight/convex/utils/srt_generator.ts                                               | TypeScript         |        118 |         36 |         29 |        183 |
| /Users/kuben/projects/surge/surgelight/convex/webhooks/ayrshare.ts                                                 | TypeScript         |        281 |          8 |         42 |        331 |
| /Users/kuben/projects/surge/surgelight/convex/webhooks/clerk.ts                                                    | TypeScript         |         95 |          6 |         18 |        119 |
| /Users/kuben/projects/surge/surgelight/convex/webhooks/make.ts                                                     | TypeScript         |        121 |         17 |         23 |        161 |
| /Users/kuben/projects/surge/surgelight/convex/webhooks/stripe.ts                                                   | TypeScript         |        180 |          7 |         33 |        220 |
| /Users/kuben/projects/surge/surgelight/convex/webhooks/test.ts                                                     | TypeScript         |         51 |          0 |          8 |         59 |
| /Users/kuben/projects/surge/surgelight/eslint.config.js                                                            | JavaScript         |         46 |          0 |          3 |         49 |
| /Users/kuben/projects/surge/surgelight/next.config.js                                                              | JavaScript         |         22 |          5 |          3 |         30 |
| /Users/kuben/projects/surge/surgelight/package-lock.json                                                           | JSON               |      9,175 |          0 |          1 |      9,176 |
| /Users/kuben/projects/surge/surgelight/package.json                                                                | JSON               |        103 |          0 |          0 |        103 |
| /Users/kuben/projects/surge/surgelight/postcss.config.js                                                           | JavaScript         |          5 |          0 |          1 |          6 |
| /Users/kuben/projects/surge/surgelight/prettier.config.js                                                          | JavaScript         |          3 |          1 |          1 |          5 |
| /Users/kuben/projects/surge/surgelight/public/file.svg                                                             | XML                |          1 |          0 |          0 |          1 |
| /Users/kuben/projects/surge/surgelight/public/globe.svg                                                            | XML                |          1 |          0 |          0 |          1 |
| /Users/kuben/projects/surge/surgelight/public/next.svg                                                             | XML                |          1 |          0 |          0 |          1 |
| /Users/kuben/projects/surge/surgelight/public/vercel.svg                                                           | XML                |          1 |          0 |          0 |          1 |
| /Users/kuben/projects/surge/surgelight/public/window.svg                                                           | XML                |          1 |          0 |          0 |          1 |
| /Users/kuben/projects/surge/surgelight/src/app/(auth)/sign-in/[[...sign-in]]/page.tsx                              | TypeScript JSX     |         18 |          0 |          3 |         21 |
| /Users/kuben/projects/surge/surgelight/src/app/(auth)/sign-up/[[...sign-up]]/page.tsx                              | TypeScript JSX     |         10 |          0 |          5 |         15 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/analytics/page.tsx                                      | TypeScript JSX     |         12 |          0 |          1 |         13 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/campaign/[id]/analytics/page.tsx                        | TypeScript JSX     |         17 |          0 |          2 |         19 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/campaign/[id]/page.tsx                                  | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/campaign/create/page.tsx                                | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/campaign/page.tsx                                       | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/pricing/page.tsx                                        | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/reports/[id]/edit/page.tsx                              | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/reports/[id]/page.tsx                                   | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/reports/create/page.tsx                                 | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/reports/page.tsx                                        | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(dashboard)/social-accounts/page.tsx                                | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(public)/public/reports/[share_id]/page.tsx                         | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/(public)/public/reports/page.tsx                                    | TypeScript JSX     |          2 |          0 |          1 |          3 |
| /Users/kuben/projects/surge/surgelight/src/app/layout.tsx                                                          | TypeScript JSX     |         40 |          0 |          5 |         45 |
| /Users/kuben/projects/surge/surgelight/src/app/page.tsx                                                            | TypeScript JSX     |        211 |          5 |         19 |        235 |
| /Users/kuben/projects/surge/surgelight/src/app/providers.tsx                                                       | TypeScript JSX     |         32 |          0 |          6 |         38 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/AnalyticsHeader.tsx                                | TypeScript JSX     |        131 |          2 |         10 |        143 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/CommentsSection.tsx                                | TypeScript JSX     |        301 |         15 |         24 |        340 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/EditVisibleVideosModal.tsx                         | TypeScript JSX     |        409 |         34 |         39 |        482 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/KpiCard.tsx                                        | TypeScript JSX     |         38 |          0 |          5 |         43 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/KpiMetricsGrid.tsx                                 | TypeScript JSX     |         85 |          1 |          2 |         88 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/PerformanceChartCard.tsx                           | TypeScript JSX     |        214 |          6 |         11 |        231 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/TopContentCard.tsx                                 | TypeScript JSX     |         89 |          0 |         11 |        100 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/TopContentItem.tsx                                 | TypeScript JSX     |         71 |          7 |          5 |         83 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/types/growth.types.ts                              | TypeScript         |          4 |          0 |          0 |          4 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/types/index.ts                                     | TypeScript         |          3 |          1 |          0 |          4 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/types/metrics.types.ts                             | TypeScript         |         23 |          4 |          4 |         31 |
| /Users/kuben/projects/surge/surgelight/src/components/analytics/types/video.types.ts                               | TypeScript         |         26 |          0 |          2 |         28 |
| /Users/kuben/projects/surge/surgelight/src/components/common/theme-provider.tsx                                    | TypeScript JSX     |         17 |          0 |          3 |         20 |
| /Users/kuben/projects/surge/surgelight/src/components/common/theme-switcher.tsx                                    | TypeScript JSX     |         18 |          0 |          4 |         22 |
| /Users/kuben/projects/surge/surgelight/src/components/icons/InstagramIcon.tsx                                      | TypeScript JSX     |          7 |          0 |          0 |          7 |
| /Users/kuben/projects/surge/surgelight/src/components/icons/TikTokIcon.tsx                                         | TypeScript JSX     |          5 |          0 |          0 |          5 |
| /Users/kuben/projects/surge/surgelight/src/components/icons/YouTubeIcon.tsx                                        | TypeScript JSX     |          5 |          0 |          0 |          5 |
| /Users/kuben/projects/surge/surgelight/src/components/icons/index.ts                                               | TypeScript         |          3 |          0 |          0 |          3 |
| /Users/kuben/projects/surge/surgelight/src/components/loaders/InlineLoader.tsx                                     | TypeScript JSX     |         38 |          0 |          5 |         43 |
| /Users/kuben/projects/surge/surgelight/src/components/loaders/LoadingAnimation.tsx                                 | TypeScript JSX     |         74 |          5 |          6 |         85 |
| /Users/kuben/projects/surge/surgelight/src/components/loaders/PageLoader.tsx                                       | TypeScript JSX     |         21 |          0 |          3 |         24 |
| /Users/kuben/projects/surge/surgelight/src/components/loaders/index.ts                                             | TypeScript         |          3 |          0 |          0 |          3 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/accordion.tsx                                             | TypeScript JSX     |         59 |          0 |          8 |         67 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/alert-dialog.tsx                                          | TypeScript JSX     |        143 |          0 |         15 |        158 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/alert.tsx                                                 | TypeScript JSX     |         60 |          0 |          7 |         67 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/aspect-ratio.tsx                                          | TypeScript JSX     |          8 |          0 |          4 |         12 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/avatar.tsx                                                | TypeScript JSX     |         47 |          0 |          7 |         54 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/badge.tsx                                                 | TypeScript JSX     |         41 |          0 |          6 |         47 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/breadcrumb.tsx                                            | TypeScript JSX     |         99 |          0 |         11 |        110 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/button.tsx                                                | TypeScript JSX     |         54 |          0 |          6 |         60 |
